DATE,POP
1991-01-01,251889
1991-02-01,252135
1991-03-01,252372
1991-04-01,252643
1991-05-01,252913
1991-06-01,253207
1991-07-01,253493
1991-08-01,253807
1991-09-01,254126
1991-10-01,254435
1991-11-01,254718
1991-12-01,254964
1992-01-01,255214
1992-02-01,255448
1992-03-01,255703
1992-04-01,255992
1992-05-01,256285
1992-06-01,256589
1992-07-01,256894
1992-08-01,257232
1992-09-01,257548
1992-10-01,257861
1992-11-01,258147
1992-12-01,258413
1993-01-01,258679
1993-02-01,258919
1993-03-01,259152
1993-04-01,259414
1993-05-01,259680
1993-06-01,259963
1993-07-01,260255
1993-08-01,260566
1993-09-01,260867
1993-10-01,261163
1993-11-01,261425
1993-12-01,261674
1994-01-01,261919
1994-02-01,262123
1994-03-01,262352
1994-04-01,262631
1994-05-01,262877
1994-06-01,263152
1994-07-01,263436
1994-08-01,263724
1994-09-01,264017
1994-10-01,264301
1994-11-01,264559
1994-12-01,264804
1995-01-01,265044
1995-02-01,265270
1995-03-01,265495
1995-04-01,265755
1995-05-01,265998
1995-06-01,266270
1995-07-01,266557
1995-08-01,266843
1995-09-01,267152
1995-10-01,267456
1995-11-01,267715
1995-12-01,267943
1996-01-01,268151
1996-02-01,268364
1996-03-01,268595
1996-04-01,268853
1996-05-01,269108
1996-06-01,269386
1996-07-01,269667
1996-08-01,269976
1996-09-01,270284
1996-10-01,270581
1996-11-01,270878
1996-12-01,271125
1997-01-01,271360
1997-02-01,271585
1997-03-01,271821
1997-04-01,272083
1997-05-01,272342
1997-06-01,272622
1997-07-01,272912
1997-08-01,273237
1997-09-01,273553
1997-10-01,273852
1997-11-01,274126
1997-12-01,274372
1998-01-01,274626
1998-02-01,274838
1998-03-01,275047
1998-04-01,275304
1998-05-01,275564
1998-06-01,275836
1998-07-01,276115
1998-08-01,276418
1998-09-01,276714
1998-10-01,277003
1998-11-01,277277
1998-12-01,277526
1999-01-01,277790
1999-02-01,277992
1999-03-01,278198
1999-04-01,278451
1999-05-01,278717
1999-06-01,279001
1999-07-01,279295
1999-08-01,279602
1999-09-01,279903
1999-10-01,280203
1999-11-01,280471
1999-12-01,280716
2000-01-01,280976
2000-02-01,281190
2000-03-01,281409
2000-04-01,281653
2000-05-01,281877
2000-06-01,282126
2000-07-01,282385
2000-08-01,282653
2000-09-01,282932
2000-10-01,283201
2000-11-01,283453
2000-12-01,283696
2001-01-01,283920
2001-02-01,284137
2001-03-01,284350
2001-04-01,284581
2001-05-01,284810
2001-06-01,285062
2001-07-01,285309
2001-08-01,285570
2001-09-01,285843
2001-10-01,286098
2001-11-01,286341
2001-12-01,286570
2002-01-01,286788
2002-02-01,286994
2002-03-01,287190
2002-04-01,287397
2002-05-01,287623
2002-06-01,287864
2002-07-01,288105
2002-08-01,288360
2002-09-01,288618
2002-10-01,288870
2002-11-01,289106
2002-12-01,289313
2003-01-01,289518
2003-02-01,289714
2003-03-01,289911
2003-04-01,290125
2003-05-01,290346
2003-06-01,290584
2003-07-01,290820
2003-08-01,291072
2003-09-01,291321
2003-10-01,291574
2003-11-01,291807
2003-12-01,292008
2004-01-01,292192
2004-02-01,292368
2004-03-01,292561
2004-04-01,292779
2004-05-01,292997
2004-06-01,293223
2004-07-01,293463
2004-08-01,293719
2004-09-01,293971
2004-10-01,294230
2004-11-01,294466
2004-12-01,294694
2005-01-01,294914
2005-02-01,295105
2005-03-01,295287
2005-04-01,295490
2005-05-01,295704
2005-06-01,295936
2005-07-01,296186
2005-08-01,296440
2005-09-01,296707
2005-10-01,296972
2005-11-01,297207
2005-12-01,297431
2006-01-01,297647
2006-02-01,297854
2006-03-01,298060
2006-04-01,298281
2006-05-01,298496
2006-06-01,298739
2006-07-01,298996
2006-08-01,299263
2006-09-01,299554
2006-10-01,299835
2006-11-01,300094
2006-12-01,300340
2007-01-01,300574
2007-02-01,300802
2007-03-01,301021
2007-04-01,301254
2007-05-01,301483
2007-06-01,301739
2007-07-01,302004
2007-08-01,302267
2007-09-01,302546
2007-10-01,302807
2007-11-01,303054
2007-12-01,303287
2008-01-01,303506
2008-02-01,303711
2008-03-01,303907
2008-04-01,304117
2008-05-01,304323
2008-06-01,304556
2008-07-01,304798
2008-08-01,305045
2008-09-01,305309
2008-10-01,305554
