DATE,GASREGW
2013-08-01,3.57375
2013-09-01,3.5324
2013-10-01,3.34375
2013-11-01,3.24275
2013-12-01,3.2764
2014-01-01,3.3125
2014-02-01,3.35625
2014-03-01,3.5332
2014-04-01,3.66075
2014-05-01,3.67275
2014-06-01,3.6916
2014-07-01,3.61125
2014-08-01,3.4865
2014-09-01,3.4062
2014-10-01,3.1705
2014-11-01,2.91225
2014-12-01,2.5426
2015-01-01,2.11575
2015-02-01,2.21625
2015-03-01,2.4636
2015-04-01,2.469
2015-05-01,2.71825
2015-06-01,2.8016
2015-07-01,2.7935
2015-08-01,2.6362
2015-09-01,2.36525
2015-10-01,2.29
2015-11-01,2.158
2015-12-01,2.0375
2016-01-01,1.9485
2016-02-01,1.7636
2016-03-01,1.96875
2016-04-01,2.11275
2016-05-01,2.2682
2016-06-01,2.3655
2016-07-01,2.239
2016-08-01,2.1776
2016-09-01,2.2185
2016-10-01,2.2494
2016-11-01,2.1815
2016-12-01,2.25425
2017-01-01,2.349
2017-02-01,2.304
2017-03-01,2.325
2017-04-01,2.41725
2017-05-01,2.3914
2017-06-01,2.3465
2017-07-01,2.2998
2017-08-01,2.38025
2017-09-01,2.64525
2017-10-01,2.505
2017-11-01,2.5635
2017-12-01,2.47675
2018-01-01,2.5546
2018-02-01,2.58725
2018-03-01,2.59125
2018-04-01,2.757
2018-05-01,2.90075
2018-06-01,2.89075
2018-07-01,2.8486
2018-08-01,2.83575
2018-09-01,2.8355
2018-10-01,2.86
2018-11-01,2.64725
2018-12-01,2.3656
